boat_id,time_now,latitude,longitude,wind_velocity,temperature,heading,acceleration_x,acceleration_y,acceleration_z
B1,2025-02-04T11:41:28.500346Z,37.87322422939139,-122.37926423759934,86.23,15.06,318.89,-1.515,-1.992,1.143
B1,2025-02-04T11:41:29.500346Z,37.871202508503515,-122.36753202364295,88.54,0.35,22.15,0.258,1.689,-1.421
B1,2025-02-04T11:41:30.500346Z,37.86962650803064,-122.36923489805675,44.95,24.28,15.81,1.115,-0.64,-0.02
B1,2025-02-04T11:41:31.500346Z,37.85889740050646,-122.37383972512508,147.52,17.09,82.72,0.689,1.25,-1.803
B1,2025-02-04T11:41:32.500346Z,37.86583658715689,-122.37948374837485,108.32,36.8,238.98,-0.258,1.946,1.922
B1,2025-02-04T11:41:33.500346Z,37.86932576169068,-122.37944920490787,75.69,-5.81,310.26,1.049,0.584,1.884
B1,2025-02-04T11:41:34.500346Z,37.87251283262371,-122.36208762777825,55.09,-8.29,244.13,-1.687,0.788,1.082
B1,2025-02-04T11:41:35.500346Z,37.87362599344238,-122.37207009865128,127.72,34.0,347.15,-1.177,-0.345,-0.657
B1,2025-02-04T11:41:36.500346Z,37.87169850320709,-122.3625451455784,118.87,8.46,2.02,0.575,1.605,-1.323
B1,2025-02-04T11:41:37.500346Z,37.86660002619235,-122.36399933141323,110.81,30.28,6.58,1.712,0.443,0.098
B1,2025-02-04T11:41:38.500346Z,37.864260270043,-122.37434549200692,28.54,-8.6,161.01,0.928,0.979,1.808
B1,2025-02-04T11:41:39.500346Z,37.87492102693576,-122.36137222662833,69.98,6.83,181.65,1.699,-0.821,1.674
B1,2025-02-04T11:41:40.500346Z,37.8779874305645,-122.37782692720471,124.01,-2.09,219.01,-0.258,-1.569,-1.065
B1,2025-02-04T11:41:41.500346Z,37.86592259484174,-122.37033064252263,136.87,28.51,40.73,-1.268,1.624,0.879
B1,2025-02-04T11:41:42.500346Z,37.860760761039856,-122.37470028580195,136.87,-1.05,335.15,-1.803,-0.69,1.894
B1,2025-02-04T11:41:43.500346Z,37.86766694575669,-122.377395736027,83.2,25.14,172.37,1.121,-0.8,-1.162
B1,2025-02-04T11:41:44.500346Z,37.864363289396444,-122.38046668437934,1.89,37.67,272.3,0.86,-1.416,-1.873
B1,2025-02-04T11:41:45.500346Z,37.86569326620214,-122.36393859045461,93.48,20.2,289.34,-0.396,-1.735,-1.711
B1,2025-02-04T11:41:46.500346Z,37.87446996110066,-122.37942574531695,51.74,15.93,212.41,-0.126,-0.741,-1.651
B1,2025-02-04T11:41:47.500346Z,37.865735877977116,-122.36325102508185,54.84,12.88,259.46,-0.669,-1.467,-1.915
B1,2025-02-04T11:41:48.500346Z,37.86808891108871,-122.37507272823402,66.4,-2.47,19.94,0.72,0.169,0.739
B1,2025-02-04T11:41:49.500346Z,37.878075222415205,-122.36526303389094,95.02,2.43,204.28,-1.437,-1.161,-1.609
B1,2025-02-04T11:41:50.500346Z,37.865027694394804,-122.37260190850635,139.23,25.74,73.98,-1.427,-1.419,-0.578
B1,2025-02-04T11:41:51.500346Z,37.87002383861839,-122.37886990332984,55.48,-2.05,305.93,1.186,-1.238,0.031
B1,2025-02-04T11:41:52.500346Z,37.858821805934255,-122.36492560793513,122.8,25.13,328.9,1.093,0.611,0.92
B1,2025-02-04T11:41:53.500346Z,37.86970730903811,-122.37613352590174,26.25,33.46,156.3,-1.289,-1.443,-0.877
B1,2025-02-04T11:41:54.500346Z,37.866811864199846,-122.36106553425927,70.69,2.75,47.76,1.491,1.487,-1.555
B1,2025-02-04T11:41:55.500346Z,37.861196155657325,-122.36557547002103,74.76,31.15,242.41,-0.984,-1.473,0.948
B1,2025-02-04T11:41:56.500346Z,37.878330073715375,-122.36192861074242,42.53,21.47,320.79,-1.414,-1.932,1.289
B1,2025-02-04T11:41:57.500346Z,37.876791341269374,-122.37474578915729,8.9,24.3,253.51,0.947,0.538,-1.583
B1,2025-02-04T11:41:58.500346Z,37.86923851941968,-122.36510818705995,107.07,6.36,149.05,-0.357,-1.511,-1.377
B1,2025-02-04T11:41:59.500346Z,37.8668969354944,-122.36913560846742,75.3,29.66,358.56,0.492,1.82,0.185
B1,2025-02-04T11:42:00.500346Z,37.869018041275325,-122.37910909609388,68.42,5.57,166.49,1.951,0.74,1.258
B1,2025-02-04T11:42:01.500346Z,37.8663118075086,-122.37077158835439,146.6,-4.29,77.87,-1.704,1.659,0.328
B1,2025-02-04T11:42:02.500346Z,37.859149148723326,-122.36451102878283,97.57,25.68,269.57,1.909,-0.273,1.423
B1,2025-02-04T11:42:03.500346Z,37.8754770227202,-122.38050418063575,141.8,38.44,101.49,1.484,1.369,1.118
B1,2025-02-04T11:42:04.500346Z,37.86291563660829,-122.36208458230918,15.42,15.64,161.84,-1.74,-1.022,-1.609
B1,2025-02-04T11:42:05.500346Z,37.87532292693262,-122.37818685129128,56.67,36.89,333.35,0.877,0.452,1.008
B1,2025-02-04T11:42:06.500346Z,37.8680537481405,-122.36700641844499,113.36,30.1,76.52,1.48,-0.376,-0.398
B1,2025-02-04T11:42:07.500346Z,37.86518546173505,-122.36658232548682,8.95,3.6,225.85,-1.427,0.872,1.506
B1,2025-02-04T11:42:08.500346Z,37.87009865653498,-122.36953087477022,42.34,31.29,38.2,-1.676,1.502,-0.571
B1,2025-02-04T11:42:09.500346Z,37.869013425077604,-122.37960891956588,114.36,-6.47,139.98,-1.085,-1.907,1.193
B1,2025-02-04T11:42:10.500346Z,37.87561191510228,-122.37997996878367,8.14,7.8,317.59,1.282,1.279,-0.911
B1,2025-02-04T11:42:11.500346Z,37.86648280500168,-122.37180176321841,141.93,13.39,201.98,1.621,-1.296,-1.023
B1,2025-02-04T11:42:12.500346Z,37.87425355426756,-122.36955073417597,136.51,37.54,32.82,-1.461,-1.031,0.968
B1,2025-02-04T11:42:13.500346Z,37.85925389744926,-122.37383746971055,95.52,-7.08,43.47,-1.73,0.881,0.582
B1,2025-02-04T11:42:14.500346Z,37.87498114147262,-122.3767319372616,98.98,4.73,70.65,1.455,0.303,-1.781
B1,2025-02-04T11:42:15.500346Z,37.87497917882496,-122.37377867840777,34.4,39.89,69.63,-1.538,1.188,1.658
B1,2025-02-04T11:42:16.500346Z,37.86536897601187,-122.37423023539588,3.41,20.03,165.77,-0.305,-0.058,-0.46
B1,2025-02-04T11:42:17.500346Z,37.87762228345803,-122.37595884410571,135.11,32.6,181.32,0.908,1.093,-1.332
B1,2025-02-04T11:42:18.500346Z,37.8598573805352,-122.3640180875929,4.26,27.17,359.2,1.657,0.793,1.312
B1,2025-02-04T11:42:19.500346Z,37.86341510143691,-122.3766861913123,36.77,18.73,73.85,1.463,1.185,-1.891
B1,2025-02-04T11:42:20.500346Z,37.86324575535947,-122.3789951307666,33.2,17.78,111.92,-0.914,0.442,0.215
B1,2025-02-04T11:42:21.500346Z,37.87535097095129,-122.36402617991816,131.33,-3.65,289.98,1.406,1.361,0.706
B1,2025-02-04T11:42:22.500346Z,37.87619713981534,-122.37348403966486,92.21,29.32,16.03,-0.26,0.114,0.031
B1,2025-02-04T11:42:23.500346Z,37.87368020131822,-122.36630780102355,13.02,38.15,110.75,-1.696,-0.889,-0.24
B1,2025-02-04T11:42:24.500346Z,37.87723159953176,-122.36594020142725,135.24,24.31,124.49,1.081,-0.975,-0.312
B1,2025-02-04T11:42:25.500346Z,37.86456602646037,-122.37212666403774,6.75,14.18,97.86,-0.57,1.785,0.203
B1,2025-02-04T11:42:26.500346Z,37.86119449354389,-122.37112647109012,73.96,38.88,54.56,1.329,1.708,-1.982
B1,2025-02-04T11:42:27.500346Z,37.87198496806787,-122.37466189870221,33.88,-2.7,55.83,1.779,1.326,0.159
B1,2025-02-04T11:42:28.500346Z,37.86245087619488,-122.37090837227954,136.96,36.95,9.54,-0.771,0.149,-1.54
B1,2025-02-04T11:42:29.500346Z,37.87138602085069,-122.37906604139582,145.77,28.68,152.74,0.007,1.979,-0.664
B1,2025-02-04T11:42:30.500346Z,37.86122682332408,-122.36726348099225,21.35,32.49,177.21,-0.275,-1.064,-0.83
B1,2025-02-04T11:42:31.500346Z,37.87102192358761,-122.37389261313639,32.77,19.6,125.79,1.122,-0.319,1.837
B1,2025-02-04T11:42:32.500346Z,37.86633906993033,-122.37928306543989,112.76,11.4,357.32,1.636,1.867,1.486
B1,2025-02-04T11:42:33.500346Z,37.86162532908258,-122.38062142440457,15.97,13.51,325.4,1.984,-1.246,1.439
B1,2025-02-04T11:42:34.500346Z,37.873712110180065,-122.37046771523667,148.52,26.59,121.84,0.682,1.346,-0.411
B1,2025-02-04T11:42:35.500346Z,37.8635783554144,-122.38063083501929,94.25,21.17,233.8,1.968,-1.42,0.215
B1,2025-02-04T11:42:36.500346Z,37.86996527768075,-122.36798165147377,123.66,28.33,270.23,-0.996,1.083,1.361
B1,2025-02-04T11:42:37.500346Z,37.86731700218506,-122.36930291283402,101.88,30.14,220.86,-1.94,-0.159,-1.51
B1,2025-02-04T11:42:38.500346Z,37.86525622791561,-122.36867632909171,7.09,38.07,22.09,0.212,1.651,-0.863
B2,2025-02-04T11:40:59.500346Z,37.867398327185036,-122.36923728939915,12.47,24.56,73.45,-0.687,-0.325,-0.466
B2,2025-02-04T11:41:00.500346Z,37.859305720733424,-122.3725962400657,93.54,9.12,168.23,0.901,-0.606,1.032
B2,2025-02-04T11:41:01.500346Z,37.87214402644389,-122.36681730592099,103.2,13.27,350.01,0.074,-0.829,1.927
B2,2025-02-04T11:41:02.500346Z,37.870488560376,-122.36820700816571,64.74,27.93,225.15,-0.621,1.835,-1.661
B2,2025-02-04T11:41:03.500346Z,37.858486851238304,-122.37401844990163,79.94,16.75,299.69,-0.791,0.334,-0.383
B2,2025-02-04T11:41:04.500346Z,37.87502450961804,-122.36943899184428,74.19,20.31,283.73,1.713,-0.743,-0.498
B2,2025-02-04T11:41:05.500346Z,37.87512212581911,-122.36368266921959,143.24,-4.36,150.01,1.699,-0.497,-0.708
B2,2025-02-04T11:41:06.500346Z,37.87039990620888,-122.37628486113105,18.8,-9.46,65.04,0.856,-1.755,0.752
B2,2025-02-04T11:41:07.500346Z,37.87837153089919,-122.37508141354499,132.23,34.78,291.09,-1.63,0.98,-1.74
B2,2025-02-04T11:41:08.500346Z,37.8599580160797,-122.3749746092585,93.57,-0.52,32.39,1.867,-0.491,0.71
B2,2025-02-04T11:41:09.500346Z,37.87485519059308,-122.3766431653656,127.21,30.05,276.5,-1.76,0.293,0.923
B2,2025-02-04T11:41:10.500346Z,37.86067655545048,-122.37688112253858,122.4,-1.26,195.51,-0.332,-0.385,-0.985
B2,2025-02-04T11:41:11.500346Z,37.86243228849645,-122.36704082171096,50.14,38.97,128.14,1.35,1.139,0.398
B2,2025-02-04T11:41:12.500346Z,37.867054926012734,-122.36385042967252,26.06,13.99,77.51,0.204,-0.733,-1.037
B2,2025-02-04T11:41:13.500346Z,37.86090513072874,-122.36994865864108,20.38,-5.44,294.57,0.762,-0.716,1.929
B2,2025-02-04T11:41:14.500346Z,37.87475196371015,-122.36737442984783,126.01,4.12,202.0,-0.2,1.157,1.517
B2,2025-02-04T11:41:15.500346Z,37.87332666282068,-122.3776879897501,59.42,23.08,199.15,-0.652,-1.424,1.899
B2,2025-02-04T11:41:16.500346Z,37.86471078438736,-122.38087964137783,8.89,35.07,246.43,-0.906,1.254,-0.888
B2,2025-02-04T11:41:17.500346Z,37.865637258601836,-122.37728112722849,27.72,22.91,232.01,1.938,0.981,-0.407
B2,2025-02-04T11:41:18.500346Z,37.86382518619726,-122.36356943119307,119.28,26.35,137.2,-1.464,1.526,0.685
B2,2025-02-04T11:41:19.500346Z,37.873462360725604,-122.37403254773925,127.76,33.4,132.82,1.541,0.657,-1.289
B2,2025-02-04T11:41:20.500346Z,37.87303349302929,-122.37576490619075,86.78,5.75,60.92,-1.946,-1.702,-1.046
B2,2025-02-04T11:41:21.500346Z,37.868459521692444,-122.36136247679455,62.13,15.66,311.99,1.41,-1.897,-0.654
B2,2025-02-04T11:41:22.500346Z,37.87707455999623,-122.38024530319848,25.08,27.11,7.32,1.363,0.169,1.569
B2,2025-02-04T11:41:23.500346Z,37.86990433067471,-122.37262387247438,31.12,18.37,37.98,-0.432,0.946,-0.708
B2,2025-02-04T11:41:24.500346Z,37.85925040883523,-122.36206987894289,50.42,1.04,178.35,-1.642,0.473,-1.795
B2,2025-02-04T11:41:25.500346Z,37.86638022383155,-122.37058034811115,43.51,18.67,227.87,-1.458,0.32,-1.411
B2,2025-02-04T11:41:26.500346Z,37.87124670249432,-122.36321181237552,13.67,-8.67,241.85,0.028,0.439,-0.906
B2,2025-02-04T11:41:27.500346Z,37.87529791799713,-122.36936962865865,22.16,28.53,135.31,-1.647,-1.215,-1.93
B2,2025-02-04T11:41:28.500346Z,37.86107497618817,-122.37473359064923,21.23,28.5,119.61,0.998,-1.766,1.667
B2,2025-02-04T11:41:29.500346Z,37.872318686027945,-122.38046333870837,17.26,-7.4,192.32,0.955,0.189,-1.363
B2,2025-02-04T11:41:30.500346Z,37.87058557108791,-122.37654649308578,131.59,13.05,178.82,-0.887,0.198,-1.855
B2,2025-02-04T11:41:31.500346Z,37.875935860085285,-122.37320877016138,21.37,33.71,200.89,-0.782,0.557,0.531
B2,2025-02-04T11:41:32.500346Z,37.85847875412086,-122.3712979667225,96.83,30.14,168.62,1.311,-1.479,-0.4
B2,2025-02-04T11:41:33.500346Z,37.87572112370411,-122.37946097180988,57.06,-7.25,99.87,-1.179,-0.973,-1.945
B2,2025-02-04T11:41:34.500346Z,37.86606278963854,-122.36194992026839,110.44,5.93,66.77,0.152,1.028,1.476
B2,2025-02-04T11:41:35.500346Z,37.87332512436567,-122.37037031164078,107.56,20.3,159.54,-1.948,-1.728,0.943
B2,2025-02-04T11:41:36.500346Z,37.860851950616244,-122.37682589458367,18.65,-3.68,206.66,-0.293,-0.872,1.361
B2,2025-02-04T11:41:37.500346Z,37.85922708017802,-122.37829325904343,148.38,13.01,240.58,1.763,-0.641,0.783
B2,2025-02-04T11:41:38.500346Z,37.87840316537908,-122.37515746993635,46.07,24.01,46.69,0.763,-1.799,-0.034
B2,2025-02-04T11:41:39.500346Z,37.86486571755363,-122.36575704927104,29.12,9.21,243.17,-0.313,-0.639,-0.534
B2,2025-02-04T11:41:40.500346Z,37.87024177227776,-122.37515817452564,89.22,11.91,314.12,-1.521,-1.494,1.552
B2,2025-02-04T11:41:41.500346Z,37.85940526853344,-122.36380444618807,33.08,-7.79,136.18,1.789,-1.659,1.211
B2,2025-02-04T11:41:42.500346Z,37.86008217906208,-122.3647729889529,131.41,-9.27,194.71,-1.119,1.519,-0.176
B2,2025-02-04T11:41:43.500346Z,37.8778330921211,-122.37977933309153,16.37,39.61,306.24,-1.117,1.955,0.58
B2,2025-02-04T11:41:44.500346Z,37.86930277956063,-122.36350200057957,60.86,17.77,119.49,0.544,-0.433,-1.504
B2,2025-02-04T11:41:45.500346Z,37.87415683952788,-122.3785617678235,98.7,-3.54,312.55,-1.583,0.229,-0.269
B2,2025-02-04T11:41:46.500346Z,37.864501364161235,-122.36611156023736,38.89,20.96,46.85,0.803,0.484,1.938
B2,2025-02-04T11:41:47.500346Z,37.87481128133164,-122.37869475480352,81.43,1.03,52.65,1.325,-1.836,0.176
B2,2025-02-04T11:41:48.500346Z,37.8751377474299,-122.37897189510133,111.9,17.07,204.02,-1.806,-0.896,-0.076
B2,2025-02-04T11:41:49.500346Z,37.86582525709314,-122.36169548575003,45.18,3.62,146.95,-0.565,0.696,-0.778
B2,2025-02-04T11:41:50.500346Z,37.87209397002268,-122.36730792152848,126.8,38.33,120.55,0.168,0.313,0.417
B2,2025-02-04T11:41:51.500346Z,37.86677678813917,-122.36430757796347,5.46,39.69,346.42,-1.497,0.486,-0.261
B2,2025-02-04T11:41:52.500346Z,37.87647506866013,-122.36231097672112,89.19,-4.34,293.33,-0.664,0.826,-1.354
B2,2025-02-04T11:41:53.500346Z,37.85884412506417,-122.36719284403839,9.24,12.81,199.12,0.356,-0.292,-1.681
B2,2025-02-04T11:41:54.500346Z,37.869483975365945,-122.37257363534437,118.34,2.96,93.96,-1.999,0.461,1.333
B2,2025-02-04T11:41:55.500346Z,37.87224464960328,-122.36625647630844,100.5,38.1,312.89,0.318,-0.509,1.883
B2,2025-02-04T11:41:56.500346Z,37.858781306367256,-122.36351125227506,37.41,21.25,54.93,1.508,-1.368,-0.372
B2,2025-02-04T11:41:57.500346Z,37.86705905691883,-122.37930981242928,108.68,12.12,194.68,1.842,1.25,-0.014
B2,2025-02-04T11:41:58.500346Z,37.87830753279063,-122.37741638516282,73.42,39.77,104.24,1.566,1.301,1.947
B2,2025-02-04T11:41:59.500346Z,37.86630067181542,-122.36197808371199,64.87,24.53,70.89,0.963,-1.608,1.661
B2,2025-02-04T11:42:00.500346Z,37.86408953272437,-122.36818179965707,25.63,35.56,353.92,-0.046,0.288,0.587
B2,2025-02-04T11:42:01.500346Z,37.85989516729338,-122.3708585224391,43.02,12.35,227.3,0.82,-1.335,0.173
B2,2025-02-04T11:42:02.500346Z,37.87148487815683,-122.37937357758557,126.54,10.65,109.82,0.652,0.562,0.821
B2,2025-02-04T11:42:03.500346Z,37.876042495879936,-122.36818137333934,131.43,3.12,283.66,-0.67,0.954,-1.774
B2,2025-02-04T11:42:04.500346Z,37.8620745793464,-122.36327510488243,47.29,1.4,287.11,-0.624,-1.527,-1.77
B2,2025-02-04T11:42:05.500346Z,37.87664556050171,-122.36606708684164,14.32,32.74,65.68,1.724,-0.526,0.407
B2,2025-02-04T11:42:06.500346Z,37.87676812085062,-122.37692718634585,47.35,29.13,187.75,0.627,-0.917,0.224
B2,2025-02-04T11:42:07.500346Z,37.875951780135985,-122.36390587236275,130.81,-6.87,20.49,-0.357,0.804,0.106
B2,2025-02-04T11:42:08.500346Z,37.86597747923536,-122.37025140912681,92.06,16.24,118.61,0.368,-1.599,-1.781
B2,2025-02-04T11:42:09.500346Z,37.86549390248113,-122.37789627788403,108.49,10.68,321.28,1.279,1.711,1.512
B2,2025-02-04T11:42:10.500346Z,37.867389749892986,-122.36110997357845,0.41,-1.14,128.02,1.586,1.713,-1.929
B2,2025-02-04T11:42:11.500346Z,37.864709119179196,-122.3679586009485,137.98,34.89,159.3,-1.554,-1.968,0.292
B2,2025-02-04T11:42:12.500346Z,37.865917610480366,-122.36775842399346,18.06,9.09,128.74,-1.694,1.899,-1.794
B2,2025-02-04T11:42:13.500346Z,37.85990271342333,-122.37876653342497,6.78,29.84,153.76,-0.09,1.214,1.247
B2,2025-02-04T11:42:14.500346Z,37.87138243356055,-122.37000639662851,1.51,-9.15,148.27,-0.956,1.307,-0.716
B2,2025-02-04T11:42:15.500346Z,37.8733489871766,-122.36595929256414,35.45,-2.5,87.36,0.593,1.036,1.747
B2,2025-02-04T11:42:16.500346Z,37.85890940371471,-122.37027600238474,80.13,18.56,338.55,1.027,-1.275,-0.222
B2,2025-02-04T11:42:17.500346Z,37.861478031979914,-122.36321956574466,97.2,17.6,322.43,1.405,0.614,0.043
B2,2025-02-04T11:42:18.500346Z,37.86244507203719,-122.37058303107189,116.87,18.56,76.61,0.767,-0.006,1.911
B2,2025-02-04T11:42:19.500346Z,37.86044507789152,-122.38016133756153,130.65,15.3,10.35,0.793,-0.649,0.591
B2,2025-02-04T11:42:20.500346Z,37.871420420885435,-122.37993832106027,93.94,22.82,112.63,-1.96,1.097,1.058
B2,2025-02-04T11:42:21.500346Z,37.8623241248772,-122.37077228262177,138.79,3.97,113.92,-0.759,-0.282,-1.612
B2,2025-02-04T11:42:22.500346Z,37.86734348258876,-122.3658931154145,88.34,-9.55,6.37,0.534,-1.589,1.297
B2,2025-02-04T11:42:23.500346Z,37.865512767929005,-122.37179608249768,107.3,28.52,146.71,1.226,-0.606,-1.95
B2,2025-02-04T11:42:24.500346Z,37.8716220932548,-122.37125114406578,142.44,-5.47,33.15,-0.296,0.279,-1.673
B2,2025-02-04T11:42:25.500346Z,37.86525254125491,-122.37162592484965,87.42,26.33,286.01,-1.667,-1.28,-1.84
B2,2025-02-04T11:42:26.500346Z,37.87566673542064,-122.37355704604784,70.77,4.85,212.18,-1.092,1.705,-1.138
B2,2025-02-04T11:42:27.500346Z,37.87685909360794,-122.37283293300207,52.74,28.18,245.89,-1.268,-1.527,1.279
B2,2025-02-04T11:42:28.500346Z,37.874686846808856,-122.37415122671203,146.17,22.2,16.38,-0.318,-0.188,-1.827
B2,2025-02-04T11:42:29.500346Z,37.87134847768164,-122.36104482868552,77.75,-7.02,124.52,-0.777,0.712,1.895
B2,2025-02-04T11:42:30.500346Z,37.87085227558524,-122.37077673380607,0.76,16.36,293.97,-0.942,-0.263,0.987
B2,2025-02-04T11:42:31.500346Z,37.87583465296403,-122.37644616232767,133.33,36.16,190.47,1.848,1.601,1.197
B2,2025-02-04T11:42:32.500346Z,37.87726768992498,-122.3615209532903,133.08,3.07,152.9,-0.099,1.852,-0.884
B2,2025-02-04T11:42:33.500346Z,37.87621652638678,-122.37362335662903,142.96,6.17,343.55,1.43,1.521,0.789
B2,2025-02-04T11:42:34.500346Z,37.86979439223746,-122.36499215256251,6.13,32.2,117.55,-0.652,1.4,1.818
B2,2025-02-04T11:42:35.500346Z,37.87085644333704,-122.36210481066819,73.46,25.78,244.03,-0.508,0.588,1.841
B2,2025-02-04T11:42:36.500346Z,37.87424312318728,-122.37798841456522,47.15,-5.38,199.46,-0.583,-0.687,-1.065
B2,2025-02-04T11:42:37.500346Z,37.86774074797412,-122.36465941170606,2.87,17.66,271.13,-0.008,-1.117,0.022
B2,2025-02-04T11:42:38.500346Z,37.86566178619265,-122.36705199961712,11.81,2.89,106.4,-1.671,0.665,1.723
B3,2025-02-04T11:40:59.500346Z,37.859594032107076,-122.37500946052018,25.43,21.36,15.54,-0.957,1.634,-1.252
B3,2025-02-04T11:41:00.500346Z,37.86852947300224,-122.37099862510753,142.39,20.79,244.24,-0.679,1.716,1.94
B3,2025-02-04T11:41:01.500346Z,37.871801281201634,-122.36229050905587,128.94,8.65,323.81,-0.546,0.543,-1.947
B3,2025-02-04T11:41:02.500346Z,37.859554076924816,-122.37396330008585,127.73,13.68,82.48,-0.655,-0.725,-0.8
B3,2025-02-04T11:41:03.500346Z,37.87297466868313,-122.37013729776442,100.76,12.3,116.43,-0.043,-1.304,-1.955
B3,2025-02-04T11:41:04.500346Z,37.863292900121536,-122.37486615743707,63.59,34.69,123.48,1.13,-0.076,-0.198
B3,2025-02-04T11:41:05.500346Z,37.86774589460076,-122.37561553072521,29.67,-6.11,303.25,-0.011,-1.853,0.305
B3,2025-02-04T11:41:06.500346Z,37.859673300879535,-122.37139468500595,84.78,14.07,141.48,1.062,-1.54,-0.797
B3,2025-02-04T11:41:07.500346Z,37.86235699267187,-122.37086432346334,10.57,38.36,114.44,-0.392,0.07,1.497
B3,2025-02-04T11:41:08.500346Z,37.87480835490704,-122.37125523726098,48.06,35.79,141.77,-0.783,-0.535,0.986
B3,2025-02-04T11:41:09.500346Z,37.86653616961789,-122.37661264025559,37.64,32.89,111.35,-1.939,1.244,0.067
B3,2025-02-04T11:41:10.500346Z,37.87154668239005,-122.37826730330035,74.77,13.95,23.06,-0.056,0.147,-1.042
B3,2025-02-04T11:41:11.500346Z,37.870793172892895,-122.38074517683377,106.46,9.1,34.58,-1.971,1.289,-0.552
B3,2025-02-04T11:41:12.500346Z,37.862783411357256,-122.3671774854103,120.74,24.76,202.06,1.564,0.549,1.826
B3,2025-02-04T11:41:13.500346Z,37.86636759975273,-122.36441921349582,21.83,-9.67,133.5,0.69,-1.904,-0.535
B3,2025-02-04T11:41:14.500346Z,37.87415582877316,-122.3753551361939,100.93,-9.46,302.81,1.72,-0.531,0.24
B3,2025-02-04T11:41:15.500346Z,37.86091240858541,-122.38033038506002,21.59,13.26,180.65,1.969,-0.6,-1.184
B3,2025-02-04T11:41:16.500346Z,37.8610347095216,-122.3655096068401,105.07,-7.53,301.59,-0.42,-0.259,0.206
